2023-09-13 03:34:15,699 INFO    MainThread:2704152 [wandb_setup.py:_flush():68] Configure stats pid to 2704152
2023-09-13 03:34:15,700 INFO    MainThread:2704152 [wandb_setup.py:_flush():68] Loading settings from /home/kasun/.config/wandb/settings
2023-09-13 03:34:15,700 INFO    MainThread:2704152 [wandb_setup.py:_flush():68] Loading settings from /home/kasun/offlineRL/IQL/iql-pytorch/wandb/settings
2023-09-13 03:34:15,700 INFO    MainThread:2704152 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-09-13 03:34:15,700 INFO    MainThread:2704152 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main_iql.py', 'program': 'main_iql.py'}
2023-09-13 03:34:15,700 INFO    MainThread:2704152 [wandb_init.py:_log_setup():492] Logging user logs to /home/kasun/offlineRL/IQL/iql-pytorch/wandb/run-20230913_033415-idir762y/logs/debug.log
2023-09-13 03:34:15,700 INFO    MainThread:2704152 [wandb_init.py:_log_setup():493] Logging internal logs to /home/kasun/offlineRL/IQL/iql-pytorch/wandb/run-20230913_033415-idir762y/logs/debug-internal.log
2023-09-13 03:34:15,701 INFO    MainThread:2704152 [wandb_init.py:init():532] calling init triggers
2023-09-13 03:34:15,701 INFO    MainThread:2704152 [wandb_init.py:init():539] wandb.init called with sweep_config: {}
config: {'policy': 'IQL', 'env': 'outdoor off RL', 'seed': 0, 'eval_freq': 10000.0, 'max_timesteps': 1000000.0, 'save_model': False, 'eval_episodes': 10, 'save_video': False, 'normalize': False, 'batch_size': 256, 'temperature': 3.0, 'expectile': 0.7, 'tau': 0.005, 'discount': 0.99, 'work_dir': '/home/kasun/offlineRL/IQL/iql-pytorch', 'model_dir': '/home/kasun/offlineRL/IQL/iql-pytorch/model'}
2023-09-13 03:34:15,701 INFO    MainThread:2704152 [wandb_init.py:init():588] starting backend
2023-09-13 03:34:15,701 INFO    MainThread:2704152 [wandb_init.py:init():592] setting up manager
2023-09-13 03:34:15,706 INFO    MainThread:2704152 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-13 03:34:15,709 INFO    MainThread:2704152 [wandb_init.py:init():599] backend started and connected
2023-09-13 03:34:15,716 INFO    MainThread:2704152 [wandb_init.py:init():687] updated telemetry
2023-09-13 03:34:15,781 INFO    MainThread:2704152 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-09-13 03:34:16,089 INFO    MainThread:2704152 [wandb_run.py:_on_init():2134] communicating current version
2023-09-13 03:34:16,144 INFO    MainThread:2704152 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.15.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-09-13 03:34:16,144 INFO    MainThread:2704152 [wandb_init.py:init():775] starting run threads in backend
2023-09-13 03:34:18,942 INFO    MainThread:2704152 [wandb_run.py:_console_start():2114] atexit reg
2023-09-13 03:34:18,942 INFO    MainThread:2704152 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-09-13 03:34:18,942 INFO    MainThread:2704152 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-09-13 03:34:18,943 INFO    MainThread:2704152 [wandb_run.py:_redirect():2059] Redirects installed.
2023-09-13 03:34:18,943 INFO    MainThread:2704152 [wandb_init.py:init():817] run started, returning control to user process
2023-09-13 03:34:18,944 INFO    MainThread:2704152 [wandb_run.py:_finish():1854] finishing run offlinerl-cql/Outdoor-IQL-offline/idir762y
2023-09-13 03:34:18,944 INFO    MainThread:2704152 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 1
2023-09-13 03:34:18,944 INFO    MainThread:2704152 [wandb_run.py:_restore():2066] restore
2023-09-13 03:34:18,944 INFO    MainThread:2704152 [wandb_run.py:_restore():2072] restore done
2023-09-13 03:34:21,847 INFO    MainThread:2704152 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-09-13 03:34:21,847 INFO    MainThread:2704152 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-09-13 03:34:21,850 INFO    MainThread:2704152 [wandb_run.py:_footer_sync_info():3398] logging synced files
